> GSM286756 loglikelihood=-48.0875
APOA1	-0.0464038
AR	0.272346
BCL2	0.117583
BCL2L1	0.0831267
BCL2L2	0.0945676
BMP2	0.571291
CCND1	0.00247947
CDK4	-0.0598831
CTNNB1	0.0253305
ESR1	0.138219
FN1	0.28201
HRAS	-0.143465
IGF1R	0.0607976
IGF2R	-0.0114193
INSR	-0.0228026
JUN	0
MAPK1	-0.206711
MAPK3	-0.065697
MMP9	0.664687
NCL	-0.280821
NOTCH1	-0.0645249
NPY	-0.156646
NR1H2	-0.0464038
PAPPA	-0.140551
PRKCQ	-0.0531588
PRKCZ	-0.162049
ROBO1	0
SRC	0.0980983
SRF	-0.0570855
SYK	0.0555858
TP53	-0.158766
ABCA1	-0.0722164
FHL2	0.057679
IGFBP3	0.0153259
MME	0.102931
MMP2	0.381203
PMAIP1	-0.141677
BCL2L11	-0.300827
BIK	-0.149312
MGP	0.291172
CDK6	-0.0181027
RBL2	0.00851498
CXCL12	0.199152
IGFBP4	-0.0766398
PGR	0.094445
ARRB1	0.266201
IGF2	-0.015952
FOSL1	0.323288
FOSL2	0
RPS6KA3	-0.205942
TH	-0.160138
TSC22D3	-0.205528
GATA4	-0.0919029
HSPB8	-0.0758641
JAK2	-0.209015
TFPI	0.416321
MYBL1	0.0478471
HEY2	-0.0606945
NPY1R	-0.225219
RASGRP1	-0.0537205
SLIT2	0
LRP1	0.0681767
RET	0.0681767
TNS3	0.0681767
BLNK	0.0340399
BTG2	-0.161217
KAT2B	-0.161217
RNF144B	-0.161217
TP53INP1	-0.161217
> GSM286757 loglikelihood=-47.6864
APOA1	-0.0498416
AR	-0.0646671
BCL2	-0.356021
BCL2L1	1.03881
BCL2L2	0
BMP2	-0.0531588
CCND1	0
CDK4	0
CTNNB1	0
ESR1	-0.0460818
FN1	0.282514
HRAS	-0.293373
IGF1R	0
IGF2R	-0.0114193
INSR	-0.033956
JUN	-0.235995
MAPK1	-0.266596
MAPK3	0
MMP9	0.665185
NCL	-0.207824
NOTCH1	0.0606552
NPY	-0.156646
NR1H2	0.570176
PAPPA	-0.042632
PRKCQ	-0.0531588
